"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B";"GLIVINA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"GOL";"208";"";"";"";"";"";"";"";"";89;"";"";224;25;92;"";"";"";"";"";11;"";"";"";"";"";36;"";"";"";"";"";"";"";"";
"Segmento B";"GOL";"C3";"";"";"";"";"";"";"";75;"";"";25;19;"";31;"";"";"";"";"";"";14;"";"";"";30;"";"";"";"";"";"";"";"";"";
"Segmento B";"GOLF";"208";"";"";"";"";"";"";"";"";"";"";"";37;"";11;"";17;"";30;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"GOLN";"C3";"";"";"";"";"";"";"";"";"";"";"";"";6;"";"";"";"";"";"";7;"";"";"";"";"";"";"";8;"";"";"";"";"";"";
"Segmento B";"GRD_SIEN";"208";"";"";"";"";"";"";"";"";8;"";"";132;"";"";"";36;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"GRD_SIEN";"C3";"";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"GRDSIENA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";94;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HON_CRV";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";33;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HON_HRV";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HON_OTH";"C3";"";"";"";"";"";"";"";"";69;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HON_WRV";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HON_WRV";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";
"Segmento B";"HYU_HB20";"208";"";"";128;"";"";55;86;66;109;"";157;317;66;226;39;"";98;"";"";10;51;"";56;"";"";45;"";15;"";43;"";"";95;"";
"Segmento B";"HYU_HB20";"C3";"";"";"";"";"";40;68;73;36;"";142;"";153;34;87;155;32;4;"";10;8;44;37;"";107;13;"";"";"";"";"";"";13;"";
"Segmento B";"HYU_I30";"208";"";"";"";"";"";"";"";"";"";"";"";19;"";"";"";"";"";"";"";12;"";"";"";"";"";"";"";267;"";"";"";"";"";"";
"Segmento B";"HYU_I30";"C3";"";"";"";"";"";"";"";"";3;"";"";"";"";"";"";"";41;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HYU_IX35";"208";"";"";"";"";"";"";"";"";"";"";"";"";58;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HYU_IX35";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HYU_OTH";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"HYU_OTH";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"IDEA";"208";"";"";"";"";"";"";"";"";44;"";"";9;68;"";"";"";"";"";"";"";21;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"IDEA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";"";"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"JAC_J2";"208";"";"";"";"";"";"";"";"";"";"";"";14;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
